variant,year,round,race_name,circuit_id,picked_driver,grid_position,predicted_position,actual_pos,fantasy_pts,exact,within_2
no_v9_weather,2025,17,Azerbaijan Grand Prix,baku,sainz,2.0,9.593042101550157,3,4,0,0
no_v9_weather,2025,18,Singapore Grand Prix,marina_bay,hadjar,8.0,10.874345252738644,11,18,0,1
no_v9_weather,2025,19,United States Grand Prix,americas,sainz,9.0,10.30533056842854,20,0,0,0
no_v9_weather,2025,20,Mexico City Grand Prix,rodriguez,sainz,7.0,9.229158986668336,17,4,0,0
no_v9_weather,2025,21,São Paulo Grand Prix,interlagos,lawson,7.0,10.099299720304993,7,12,0,0
no_v9_weather,2025,22,Las Vegas Grand Prix,vegas,hamilton,20.0,10.518675340731308,8,15,0,1
no_v9_weather,2025,23,Qatar Grand Prix,losail,alonso,8.0,10.88502253192976,7,12,0,0
no_v9_weather,2025,24,Abu Dhabi Grand Prix,yas_marina,antonelli,14.0,10.23821509537973,15,8,0,0
compact_rf_core,2025,1,Australian Grand Prix,albert_park,sainz,10.0,9.971412032342977,18,2,0,0
compact_rf_core,2025,2,Chinese Grand Prix,shanghai,albon,10.0,10.328743419124283,7,12,0,0
compact_rf_core,2025,3,Japanese Grand Prix,suzuka,hadjar,7.0,10.113154997237501,8,15,0,1
compact_rf_core,2025,4,Bahrain Grand Prix,bahrain,hamilton,9.0,9.929965857088229,5,8,0,0
compact_rf_core,2025,5,Saudi Arabian Grand Prix,jeddah,tsunoda,8.0,10.392389650661626,19,1,0,0
compact_rf_core,2025,6,Miami Grand Prix,miami,albon,7.0,8.89341165349097,5,8,0,0
compact_rf_core,2025,7,Emilia Romagna Grand Prix,imola,alonso,5.0,9.802940529024582,11,18,0,1
compact_rf_core,2025,8,Monaco Grand Prix,monaco,hadjar,6.0,10.49674590768805,6,10,0,0
compact_rf_core,2025,9,Spanish Grand Prix,catalunya,hadjar,9.0,10.740103998972332,7,12,0,0
compact_rf_core,2025,10,Canadian Grand Prix,villeneuve,hadjar,9.0,11.078973572413286,16,6,0,0
compact_rf_core,2025,11,Austrian Grand Prix,red_bull_ring,lawson,6.0,9.429645218660937,6,10,0,0
compact_rf_core,2025,12,British Grand Prix,silverstone,bearman,8.0,10.959747688200853,11,18,0,1
compact_rf_core,2025,13,Belgian Grand Prix,spa,albon,5.0,9.23066579508172,6,10,0,0
compact_rf_core,2025,14,Hungarian Grand Prix,hungaroring,bortoleto,7.0,10.638200973528837,6,10,0,0
compact_rf_core,2025,15,Dutch Grand Prix,zandvoort,antonelli,11.0,9.348408812798322,16,6,0,0
compact_rf_core,2025,16,Italian Grand Prix,monza,alonso,9.0,11.484002054739527,19,1,0,0
compact_rf_core,2025,17,Azerbaijan Grand Prix,baku,sainz,2.0,9.742149271639935,3,4,0,0
compact_rf_core,2025,18,Singapore Grand Prix,marina_bay,hadjar,8.0,10.672872275064282,11,18,0,1
compact_rf_core,2025,19,United States Grand Prix,americas,sainz,9.0,10.257668521978939,20,0,0,0
compact_rf_core,2025,20,Mexico City Grand Prix,rodriguez,sainz,7.0,9.236473608460086,17,4,0,0
compact_rf_core,2025,21,São Paulo Grand Prix,interlagos,lawson,7.0,10.363161954432435,7,12,0,0
compact_rf_core,2025,22,Las Vegas Grand Prix,vegas,hamilton,20.0,10.523541622491928,8,15,0,1
compact_rf_core,2025,23,Qatar Grand Prix,losail,alonso,8.0,11.005400363048546,7,12,0,0
compact_rf_core,2025,24,Abu Dhabi Grand Prix,yas_marina,antonelli,14.0,10.370611890367634,15,8,0,0
compact_no_q2,2025,1,Australian Grand Prix,albert_park,sainz,10.0,10.014410531536633,18,2,0,0
compact_no_q2,2025,2,Chinese Grand Prix,shanghai,albon,10.0,10.442411472590623,7,12,0,0
compact_no_q2,2025,3,Japanese Grand Prix,suzuka,hadjar,7.0,10.149011838828672,8,15,0,1
compact_no_q2,2025,4,Bahrain Grand Prix,bahrain,sainz,8.0,9.872519447618592,19,1,0,0
compact_no_q2,2025,5,Saudi Arabian Grand Prix,jeddah,tsunoda,8.0,10.476448222255238,19,1,0,0
compact_no_q2,2025,6,Miami Grand Prix,miami,albon,7.0,8.962573307974361,5,8,0,0
compact_no_q2,2025,7,Emilia Romagna Grand Prix,imola,alonso,5.0,9.774440534923631,11,18,0,1
compact_no_q2,2025,8,Monaco Grand Prix,monaco,hadjar,6.0,10.432246052700814,6,10,0,0
compact_no_q2,2025,9,Spanish Grand Prix,catalunya,hadjar,9.0,10.820073901105864,7,12,0,0
compact_no_q2,2025,10,Canadian Grand Prix,villeneuve,hadjar,9.0,11.134544723300916,16,6,0,0
compact_no_q2,2025,11,Austrian Grand Prix,red_bull_ring,lawson,6.0,9.454516240640277,6,10,0,0
compact_no_q2,2025,12,British Grand Prix,silverstone,bearman,8.0,10.996604306342743,11,18,0,1
compact_no_q2,2025,13,Belgian Grand Prix,spa,albon,5.0,9.187383369390597,6,10,0,0
compact_no_q2,2025,14,Hungarian Grand Prix,hungaroring,bortoleto,7.0,10.54883091203835,6,10,0,0
compact_no_q2,2025,15,Dutch Grand Prix,zandvoort,antonelli,11.0,9.243539667285484,16,6,0,0
compact_no_q2,2025,16,Italian Grand Prix,monza,alonso,9.0,11.572997998684796,19,1,0,0
compact_no_q2,2025,17,Azerbaijan Grand Prix,baku,sainz,2.0,9.580219739935266,3,4,0,0
compact_no_q2,2025,18,Singapore Grand Prix,marina_bay,hadjar,8.0,10.657590363002067,11,18,0,1
compact_no_q2,2025,19,United States Grand Prix,americas,sainz,9.0,10.327683278747372,20,0,0,0
compact_no_q2,2025,20,Mexico City Grand Prix,rodriguez,sainz,7.0,9.253883003834623,17,4,0,0
compact_no_q2,2025,21,São Paulo Grand Prix,interlagos,lawson,7.0,10.448135401681443,7,12,0,0
compact_no_q2,2025,22,Las Vegas Grand Prix,vegas,hamilton,20.0,10.406021928560952,8,15,0,1
compact_no_q2,2025,23,Qatar Grand Prix,losail,alonso,8.0,11.006389637252232,7,12,0,0
compact_no_q2,2025,24,Abu Dhabi Grand Prix,yas_marina,antonelli,14.0,10.414923365525432,15,8,0,0
