cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2015,2011,2014,6,xgb_ranker,vettel,2,2
2015,2011,2014,6,lgb_reg,rosberg,1,1
2015,2011,2014,6,ensemble,vettel,2,2
2015,2011,2014,7,ridge,maldonado,7,12
2015,2011,2014,7,rf_reg,massa,6,10
2015,2011,2014,7,rf_clf,sainz,12,15
2015,2011,2014,7,xgb_reg,sainz,12,15
2015,2011,2014,7,xgb_clf,kvyat,9,18
2015,2011,2014,7,xgb_ranker,kvyat,9,18
2015,2011,2014,7,lgb_reg,maldonado,7,12
2015,2011,2014,7,ensemble,kvyat,9,18
2015,2011,2014,8,ridge,ricciardo,10,25
2015,2011,2014,8,rf_reg,hulkenberg,6,10
2015,2011,2014,8,rf_clf,sainz,16,6
2015,2011,2014,8,xgb_reg,maldonado,7,12
2015,2011,2014,8,xgb_clf,maldonado,7,12
2015,2011,2014,8,xgb_ranker,kvyat,12,15
2015,2011,2014,8,lgb_reg,kvyat,12,15
2015,2011,2014,8,ensemble,kvyat,12,15
2015,2011,2014,9,ridge,ricciardo,15,8
2015,2011,2014,9,rf_reg,ricciardo,15,8
2015,2011,2014,9,rf_clf,grosjean,17,4
2015,2011,2014,9,xgb_reg,hulkenberg,7,12
2015,2011,2014,9,xgb_clf,grosjean,17,4
2015,2011,2014,9,xgb_ranker,ricciardo,15,8
2015,2011,2014,9,lgb_reg,hulkenberg,7,12
2015,2011,2014,9,ensemble,grosjean,17,4
2015,2011,2014,10,ridge,kvyat,2,2
2015,2011,2014,10,rf_reg,kvyat,2,2
2015,2011,2014,10,rf_clf,maldonado,14,10
2015,2011,2014,10,xgb_reg,kvyat,2,2
2015,2011,2014,10,xgb_clf,maldonado,14,10
2015,2011,2014,10,xgb_ranker,sainz,17,4
2015,2011,2014,10,lgb_reg,bottas,13,12
2015,2011,2014,10,ensemble,kvyat,2,2
2015,2011,2014,11,ridge,rosberg,2,2
2015,2011,2014,11,rf_reg,rosberg,2,2
2015,2011,2014,11,rf_clf,rosberg,2,2
2015,2011,2014,11,xgb_reg,rosberg,2,2
2015,2011,2014,11,xgb_clf,rosberg,2,2
2015,2011,2014,11,xgb_ranker,rosberg,2,2
2015,2011,2014,11,lgb_reg,rosberg,2,2
2015,2011,2014,11,ensemble,rosberg,2,2
2015,2011,2014,12,ridge,grosjean,19,1
2015,2011,2014,12,rf_reg,hulkenberg,7,12
2015,2011,2014,12,rf_clf,ericsson,9,18
2015,2011,2014,12,xgb_reg,maldonado,20,0
2015,2011,2014,12,xgb_clf,maldonado,20,0
2015,2011,2014,12,xgb_ranker,maldonado,20,0
2015,2011,2014,12,lgb_reg,rosberg,17,4
2015,2011,2014,12,ensemble,maldonado,20,0
2015,2011,2014,13,ridge,max_verstappen,8,15
2015,2011,2014,13,rf_reg,grosjean,13,12
2015,2011,2014,13,rf_clf,grosjean,13,12
2015,2011,2014,13,xgb_reg,hamilton,18,2
2015,2011,2014,13,xgb_clf,maldonado,12,15
2015,2011,2014,13,xgb_ranker,alonso,17,4
2015,2011,2014,13,lgb_reg,maldonado,12,15
2015,2011,2014,13,ensemble,maldonado,12,15
2015,2011,2014,14,ridge,perez,12,15
2015,2011,2014,14,rf_reg,kvyat,13,12
2015,2011,2014,14,rf_clf,ericsson,14,10
2015,2011,2014,14,xgb_reg,maldonado,8,15
2015,2011,2014,14,xgb_clf,maldonado,8,15
2015,2011,2014,14,xgb_ranker,hulkenberg,6,10
2015,2011,2014,14,lgb_reg,raikkonen,4,6
2015,2011,2014,14,ensemble,maldonado,8,15
2015,2011,2014,15,ridge,kvyat,5,8
2015,2011,2014,15,rf_reg,ricciardo,15,8
2015,2011,2014,15,rf_clf,max_verstappen,10,25
2015,2011,2014,15,xgb_reg,kvyat,5,8
2015,2011,2014,15,xgb_clf,button,9,18
2015,2011,2014,15,xgb_ranker,maldonado,7,12
2015,2011,2014,15,lgb_reg,kvyat,5,8
2015,2011,2014,15,ensemble,ricciardo,15,8
2015,2011,2014,16,ridge,rosberg,2,2
2015,2011,2014,16,rf_reg,hamilton,1,1
2015,2011,2014,16,rf_clf,rosberg,2,2
2015,2011,2014,16,xgb_reg,hamilton,1,1
2015,2011,2014,16,xgb_clf,hamilton,1,1
2015,2011,2014,16,xgb_ranker,rosberg,2,2
2015,2011,2014,16,lgb_reg,hamilton,1,1
2015,2011,2014,16,ensemble,hamilton,1,1
2015,2011,2014,17,ridge,max_verstappen,9,18
2015,2011,2014,17,rf_reg,hulkenberg,7,12
2015,2011,2014,17,rf_clf,maldonado,11,18
2015,2011,2014,17,xgb_reg,sainz,13,12
2015,2011,2014,17,xgb_clf,maldonado,11,18
2015,2011,2014,17,xgb_ranker,hulkenberg,7,12
2015,2011,2014,17,lgb_reg,massa,6,10
2015,2011,2014,17,ensemble,sainz,13,12
2015,2011,2014,18,ridge,perez,12,15
2015,2011,2014,18,rf_reg,kvyat,7,12
2015,2011,2014,18,rf_clf,nasr,13,12
2015,2011,2014,18,xgb_reg,hulkenberg,6,10
2015,2011,2014,18,xgb_clf,nasr,13,12
2015,2011,2014,18,xgb_ranker,nasr,13,12
2015,2011,2014,18,lgb_reg,hulkenberg,6,10
2015,2011,2014,18,ensemble,nasr,13,12
2015,2011,2014,19,ridge,hulkenberg,7,12
2015,2011,2014,19,rf_reg,kvyat,10,25
2015,2011,2014,19,rf_clf,nasr,15,8
2015,2011,2014,19,xgb_reg,ricciardo,6,10
2015,2011,2014,19,xgb_clf,button,12,15
2015,2011,2014,19,xgb_ranker,sainz,11,18
2015,2011,2014,19,lgb_reg,ricciardo,6,10
2015,2011,2014,19,ensemble,button,12,15
