cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2016,2012,2015,12,ridge,massa,20,0
2016,2012,2015,12,rf_reg,bottas,9,18
2016,2012,2015,12,rf_clf,sainz,14,10
2016,2012,2015,12,xgb_reg,massa,20,0
2016,2012,2015,12,xgb_clf,kvyat,15,8
2016,2012,2015,12,xgb_ranker,gutierrez,11,18
2016,2012,2015,12,lgb_reg,button,8,15
2016,2012,2015,12,ensemble,bottas,9,18
2016,2012,2015,13,ridge,bottas,8,15
2016,2012,2015,13,rf_reg,massa,10,25
2016,2012,2015,13,rf_clf,sainz,20,0
2016,2012,2015,13,xgb_reg,massa,10,25
2016,2012,2015,13,xgb_clf,sainz,20,0
2016,2012,2015,13,xgb_ranker,gutierrez,12,15
2016,2012,2015,13,lgb_reg,bottas,8,15
2016,2012,2015,13,ensemble,sainz,20,0
2016,2012,2015,14,ridge,hulkenberg,10,25
2016,2012,2015,14,rf_reg,perez,8,15
2016,2012,2015,14,rf_clf,gutierrez,13,12
2016,2012,2015,14,xgb_reg,massa,9,18
2016,2012,2015,14,xgb_clf,gutierrez,13,12
2016,2012,2015,14,xgb_ranker,gutierrez,13,12
2016,2012,2015,14,lgb_reg,perez,8,15
2016,2012,2015,14,ensemble,perez,8,15
2016,2012,2015,15,ridge,alonso,7,12
2016,2012,2015,15,rf_reg,perez,8,15
2016,2012,2015,15,rf_clf,button,19,1
2016,2012,2015,15,xgb_reg,vettel,5,8
2016,2012,2015,15,xgb_clf,kvyat,9,18
2016,2012,2015,15,xgb_ranker,kvyat,9,18
2016,2012,2015,15,lgb_reg,perez,8,15
2016,2012,2015,15,ensemble,kvyat,9,18
2016,2012,2015,16,ridge,massa,13,12
2016,2012,2015,16,rf_reg,bottas,5,8
2016,2012,2015,16,rf_clf,kvyat,14,10
2016,2012,2015,16,xgb_reg,massa,13,12
2016,2012,2015,16,xgb_clf,sainz,11,18
2016,2012,2015,16,xgb_ranker,kvyat,14,10
2016,2012,2015,16,lgb_reg,bottas,5,8
2016,2012,2015,16,ensemble,kvyat,14,10
2016,2012,2015,17,ridge,bottas,10,25
2016,2012,2015,17,rf_reg,hulkenberg,8,15
2016,2012,2015,17,rf_clf,sainz,17,4
2016,2012,2015,17,xgb_reg,gutierrez,20,0
2016,2012,2015,17,xgb_clf,sainz,17,4
2016,2012,2015,17,xgb_ranker,gutierrez,20,0
2016,2012,2015,17,lgb_reg,perez,7,12
2016,2012,2015,17,ensemble,gutierrez,20,0
2016,2012,2015,18,ridge,massa,7,12
2016,2012,2015,18,rf_reg,hulkenberg,20,0
2016,2012,2015,18,rf_clf,sainz,6,10
2016,2012,2015,18,xgb_reg,hulkenberg,20,0
2016,2012,2015,18,xgb_clf,sainz,6,10
2016,2012,2015,18,xgb_ranker,sainz,6,10
2016,2012,2015,18,lgb_reg,hulkenberg,20,0
2016,2012,2015,18,ensemble,sainz,6,10
2016,2012,2015,19,ridge,ricciardo,3,4
2016,2012,2015,19,rf_reg,max_verstappen,4,6
2016,2012,2015,19,rf_clf,max_verstappen,4,6
2016,2012,2015,19,xgb_reg,ricciardo,3,4
2016,2012,2015,19,xgb_clf,max_verstappen,4,6
2016,2012,2015,19,xgb_ranker,max_verstappen,4,6
2016,2012,2015,19,lgb_reg,ricciardo,3,4
2016,2012,2015,19,ensemble,max_verstappen,4,6
2016,2012,2015,20,ridge,bottas,11,18
2016,2012,2015,20,rf_reg,hulkenberg,7,12
2016,2012,2015,20,rf_clf,kvyat,13,12
2016,2012,2015,20,xgb_reg,grosjean,20,0
2016,2012,2015,20,xgb_clf,bottas,11,18
2016,2012,2015,20,xgb_ranker,bottas,11,18
2016,2012,2015,20,lgb_reg,perez,4,6
2016,2012,2015,20,ensemble,bottas,11,18
2016,2012,2015,21,ridge,hulkenberg,7,12
2016,2012,2015,21,rf_reg,massa,9,18
2016,2012,2015,21,rf_clf,massa,9,18
2016,2012,2015,21,xgb_reg,massa,9,18
2016,2012,2015,21,xgb_clf,sainz,18,2
2016,2012,2015,21,xgb_ranker,sainz,18,2
2016,2012,2015,21,lgb_reg,hulkenberg,7,12
2016,2012,2015,21,ensemble,sainz,18,2
